Catálogo de Servicio,Área,Item
GC - Hardware,CPU,Disco Duro
GC - Hardware,Perifericos,Puertos USB
GC - Hardware,Perifericos,Mouse
GC - Hardware,Perifericos,Teclado
GC - Software,Windows,Lentitud
Capital,Applications,MS Office
Capital,Applications,Loop Fabric
Capital,Applications,Antivirus
Capital,Applications,Web Browser
Capital,Applications,Agente
Capital,Networking,Wired
Capital,Networking,Wireless
Capital,Networking,Dedicated Link
Capital,Networking,Firewall
Capital,Assessment,MS Office
Capital,Assessment,Windows
Capital,Assessment,eFom
Capital,Assessment,Printing
Capital,Hardware,Monitor
Capital,Hardware,Mouse
Capital,Hardware,Keyboard
Capital,Hardware,HDD
Capital,Hardware,Printer
Essential,Red,Cableado
Essential,Red,Wireless
Essential,Red,wePresent
Essential,Aplicaciones,SalesForce
Essential,Aplicaciones,Google Calendar
Essential,Aplicaciones,RedBooth
Essential,Aplicaciones,Google Drive
Essential,Aplicaciones,Google Mail
GC - Software,Windows,Configuración
Essential,Sistema Operativo,Asesoria
Essential,Sistema Operativo,Instalación
Essential,Sistema Operativo,Configuración
Eutectic,Networking,Firewall
Eutectic,Networking,BAM
Eutectic,Networking,VPN
Eutectic,Networking,MPLS
Eutectic,Networking,Wireless
Eutectic,Networking,Dedicated Link
Eutectic,Networking,Wired
Eutectic,Applicatons,ADAMS
Eutectic,Assessment,MS Office
Eutectic,Applicatons,Windows
Eutectic,Applicatons,MS Office
Eutectic,Applicatons,vmWare
Eutectic,Applicatons,Antivirus
Eutectic,Assessment,Windows
Eutectic,Assessment,JD Edwards
Eutectic,Assessment,Facturación Eletrónica
Eutectic,Assessment,ADAMS
Eutectic,Assessment,vmWare
Eutectic,Hardware,Monitor
Eutectic,Hardware,Mouse
Eutectic,Hardware,Keyboard
Eutectic,Hardware,HDD
Eutectic,Hardware,Printer
Eutectic,Hardware,Mobile
Eutectic,Hardware,SERVERS
Eutectic,Hardware,SAN
PPOMX - Proveedores,Servicios,Axtel
PPOMX - Proveedores,Servicios,Telmex
PPOMX - Proveedores,Servicios,Edificio
PPOMX - Proveedores,Servicios,CFE
PPOMX - Proveedores,Fabricantes,Meraki
PPOMX - Proveedores,Fabricantes,HP
PPOMX - Proveedores,Fabricantes,Acer
PPOMX - Proveedores,Fabricantes,Dell
PPOMX - Proveedores,Fabricantes,Apple
PPOMX - Proveedores,Hardware,Impresión
PPOMX - Proveedores,Hardware,Escaneo
PPOMX - Proveedores,Hardware,Mantenimiento
GC - Software,Windows,Falla
GC - Punto de Venta,Venta,Precio
GC - Punto de Venta,Venta,Promoción
GC - Punto de Venta,Traspasos,Inventario
GC - Comunicaciones,CCTV,Videos
GC - Comunicaciones,CCTV,Acceso
Essential,Aplicaciones,RDP
Essential,Aplicaciones,Antivirus
Essential,Red,Router
PPOMX - Proveedores,Hardware,Garantía
PPOMX - Proveedores,Software,Salesforce
Hardware,Impresión,Sato
Capital,Hardware,No Break
Capital,Hardware,MotherBoard
Capital,Hardware,Eliminador
Capital,Applications,COI
Capital,Applications,NOI
Capital,Applications,SAE
Capital,Applications,ACT
Capital,Applications,GEMINIS (CHECADOR)
Hardware,Reloj Checador,Energia
Essential,Hardware,Monitor
Essential,Hardware,Keyboard
Essential,Hardware,Mouse
Essential,Hardware,HDD
Essential,Hardware,No Break
Essential,Hardware,Bateria
Befective,Implementación,Requerimentos Técnicos
Befective,Implementación,Permisos de equipo
Befective,Implementación,Servicio de Red
Befective,Sistema Operativo,McOS X
Befective,Sistema Operativo,Windows 10
Befective,Sistema Operativo,Windows 8.1
Hardware,Reloj Checador,Lector
PPOMX - Change Requests,IT Requests,Alta de Elemento en Catálogo
PPOMX - Change Requests,IT Requests,Baja de Elemento de Catálogo
Capital,Applications,WINDOWS
PPOMX - Change Requests,IT Requests,Cambio de Elemento de Catálogo
Essential,Red,Access Point
Hardware,Perifericos,Proyector
Essential,Hardware,Impresora
Hardware,Impresión,Zebra
Hardware,Reloj Checador,Servicio
Hardware,Impresión,Multifuncional
Hardware,Impresión,Rugger Writer
Hardware,Impresión,Plotter
Hardware,Servidores,Storage
Befective,Sistema Operativo,Windows 8
Befective,Configuración,Eficiencias
Befective,Sistema Operativo,Windows 7
Befective,Comunicaciones,Sin conexión
Befective,Comunicaciones,Usuario no identificado
Befective,Comunicaciones,Equipo sn registrar
Befective,Configuración,Actividades Productivas
Befective,Configuración,Actividades No Productivas
Befective,Configuración,Preguntas Offline
Befective,Configuración,Infomes
Befective,Configuración,Asignación de Roles
Hardware,Impresión,Etiquetadora
Comunicaciones,Monitoreo,Solarwinds
Aplicaciones,Oracle,Ventas SHI
Aplicaciones,Oracle,Ventas OM
Aplicaciones,Oracle,SOA / Ventas
Aplicaciones,Oracle,SOA / Materiales
Aplicaciones,Oracle,Materiales PUT
Aplicaciones,Oracle,Materiales Requisiciones
Aplicaciones,Oracle,Materiales / Quality
Aplicaciones,Oracle,Materiales Manufcatura
Aplicaciones,Oracle,Materiales Provisionamiento
Aplicaciones,Oracle,Materiales Inv
Aplicaciones,Oracle,SOA / Finanzas
Aplicaciones,Oracle,Materiales Mantenimiento
Aplicaciones,Oracle,Materiales Pedidos
Aplicaciones,Oracle,Materiales Inprocurement / Compras
Aplicaciones,Oracle,Finanzas Informes
Aplicaciones,Oracle,Finanzas GL
Aplicaciones,Oracle,Finanzas OIE
Aplicaciones,Oracle,Finanzas FISO
GC - Software,Remoto,VNC
Software,Agentes,DeskOne
Aplicaciones,Meta4,Desarrollo
Aplicaciones,Ventas,Facturación
Aplicaciones,Reloj Checador,Información
Aplicaciones,Portal Proveedores,Ordenes de Compra
Aplicaciones,Portal Proveedores,Portal
Aplicaciones,Portal Proveedores,Requisiciones
Aplicaciones,Future,Agente
Aplicaciones,Facturación,Notas de Debito
Aplicaciones,Facturación,Notas de Credito
Aplicaciones,Facturación,Facturas
Aplicaciones,Facturación,Embarques
Aplicaciones,Oracle,Finanzas Alerta
Aplicaciones,Meta4,SOA
Aplicaciones,Meta4,ESS
Aplicaciones,Meta4,Negocio
Aplicaciones,Meta4,Nomina
Capital,Hardware,Cambio de ubicación
Aplicaciones,Facturación,Azurian / ATEB COFIDI
Aplicaciones,Meta4,E-Mind
Aplicaciones,Meta4,PeopleNet
Aplicaciones,Epicor,Agente
Essential,Aplicaciones,Microsoft Office
Accesos,Windows,Login
Essential,Hardware,Escaner
Aplicaciones,Discoverer,Interface
Eutectic,Hardware,Cambio de toner
Eutectic,Applicatons,E-mail
Eutectic,Hardware,Work Station
Accesos,Active Directory,Recurso de Red
Accesos,Active Directory,Red
Accesos,Portal de Accesos,Cuenta
Accesos,VPN,Cuenta
Accesos,Portal de Accesos,Homologación
Accesos,Portal Proveedores,Cuenta
Aplicaciones,Portal Proveedores,Empresas
Aplicaciones,Oracle,Finanzas FA
Aplicaciones,Oracle,Finanzas Aplicación
Aplicaciones,Oracle,Finanzas AP
Aplicaciones,Oracle,Finanzas AR
Software,Compresión de Datos,Winzip
Software,Compresión de Datos,WinRar
Software,Compresión de Datos,TARZip
Software,Compresión de Datos,7zip
Software,Agentes,Lync
Software,Agentes,VPN Cisco Client
Aplicaciones,Meta4,Interface
Statistics,Executive,Activities
Statistics,Executive,Highlights
Access,Account,Login
Access,Account,Password
Access,Account,Signup
Statistics,Automated Statistics,Create
Statistics,Automated Statistics,Manage
Statistics,Executive,Mood
Statistics,Executive,Teammates
Statistics,Executive,Teams
Statistics,Executive,Single Activity (away)
Statistics,Executive,Single Activity (computer)
Statistics,Executive,Work Goal
Statistics,Historical,General / Many Days
Statistics,Historical,General / One Day
Statistics,Historical,Single Teammate / Many Days
Statistics,Historical,Single Teammate / One Day
Statistics,Real Time,General
Statistics,Real Time,Details
Teams & Teammates,Create New Team / Subteam,Mood Feature
Teams & Teammates,Create New Team / Subteam,My Stats Feature
Teams & Teammates,Create New Team / Subteam,Question
Teams & Teammates,Create New Team / Subteam,Time Goal
Teams & Teammates,Create New Team / Subteam,Work Goal
Accesos,Active Directory,Cuenta
Aplicaciones,Colaboración,Lync
Accesos,Oracle,QATI
Accesos,Oracle,LFRS
Accesos,Oracle,Cuenta
Accesos,Meta4,ESS
Accesos,Meta4,E-Mind
Accesos,Internet,Privilegio
Accesos,Código Telefónico,Código
Accesos,Lotus Notes,Cuenta
Accesos,Meta4,Cuenta
GC - Hardware,Accesorios,Cable de energia
Accesos,Exchange,Lista de Distribucion
Accesos,Internet,Cuenta
Accesos,Exchange,Cuota
PPOMX - Proveedores,Software,Pipedrive
Accesos,Discoverer,Información
Accesos,Exchange,Cuenta
Essential,Hardware,Teléfono Fijo
PPOMX - Proveedores,Software,RedBooth
PPOMX - Proveedores,Software,Google Drive
PPOMX - Proveedores,Software,Google Mail
PPOMX - Proveedores,Software,Google Calendar
Essential,Red,Cable HDMI
Essential,Red,Cable Telefonico
Essential,Aplicaciones,Banca Electronica
Essential,Aplicaciones,Reloj Checador
Essential,Aplicaciones,Befective
Essential,Aplicaciones,SugarCRM
Essential,Hardware,Cable de Red
Essential,Hardware,Cable Telefonico
Essential,Hardware,Cable HDMI
Essential,Hardware,Cable VGA
Essential,Hardware,Dockinstation
PPOMX - Change Requests,IT Requests,Cambio de Privilegios de Acceso a Red
PPOMX - Change Requests,HR Requests,Baja de Usuario
PPOMX - Change Requests,HR Requests,Cambio de Usuario
PPOMX - Change Requests,HR Requests,Alta de Usuario
PPOMX - Change Requests,IT Requests,Solicitud de Servidor
PPOMX - Change Requests,IT Requests,Solicitud de Base de Datos
PPOMX - Change Requests,IT Requests,Identidad y Acceso
PPOMX - Change Requests,IT Requests,Prestamo de Equipo de Computo
PPOMX - Proveedores,Proveedores,Telmex
Essential,Aplicaciones,itManager
Accesos,Código Telefónico,Privilegios
Accesos,Discoverer,Cuenta
Accesos,BLIS,Privilegios
Comunicaciones,Infraestructura,Aire de Precisión
Comunicaciones,Red WiFi,Access Point
Comunicaciones,Red LAN,Router
Comunicaciones,Red WAN,Enlace
Comunicaciones,Red LAN,Switch
Comunicaciones,Red LAN,Patch Cord
Statistics,Executive,Time Goal
Software,Agentes,Antivirus
Comunicaciones,Infraestructura,Rack
Comunicaciones,Infraestructura,UPS
Comunicaciones,Infraestructura,Almacenamiento
Comunicaciones,Infraestructura,Cableado de Datos
Comunicaciones,Infraestructura,Planta de Energia
Comunicaciones,Infraestructura,Gabinete
Comunicaciones,Infraestructura,Cableado de Energia
